feature,importance_mean,importance_std,rank
sender_tx_count,0.00762676247006866,2.386460645775922e-05,1
sender_amount_cv,0.0068923681759356595,1.225613906367293e-05,2
min_cycle_len,0.0063272525379199475,3.280232763049655e-05,3
scatter_source_count,0.005203089671336469,2.621794511309254e-05,4
time_since_last_tx_hours,0.004707536453384886,1.5108897667755758e-05,5
receiver_fan_in_ratio,0.0045801677768119164,1.9773187826038585e-05,6
in_any_cycle,0.0045364985249202626,3.0803230287401734e-05,7
sender_unique_receiver_countries,0.003090684525081833,1.0599253073442478e-05,8
gather_target_count,0.0023318790712385075,1.1968791482766735e-05,9
sender_fan_out_ratio,0.0018680737629968914,1.3108105326532868e-05,10
shared_counterparty_count,0.001359757749990198,7.763616922529875e-06,11
scatter_gather_score,0.0011954181146302868,1.0325520755897624e-05,12
is_currency_conversion,0.0009413655626951068,7.855366713630289e-06,13
log_amount,0.0007669626608302948,1.2249819859059266e-05,14
below_10k_margin,0.0006063084979300859,6.663425511185228e-06,15
any_high_risk,0.0,0.0,16
just_below_10k,-0.00020060615063706156,7.876798578951785e-06,17
