typology,is_labelled_laundering,count,pct_of_population,flagged,flagged_rate,tp_flagged,fp_flagged,recall,precision_in_typology
Behavioural_Change_2,True,345,3.629725113026484e-05,319,0.9246376811594202,319,0,0.9246376811594202,1.0
Behavioural_Change_1,True,394,4.1452512884998105e-05,294,0.7461928934010152,294,0,0.7461928934010152,1.0
Scatter-Gather,True,338,3.5560785165302944e-05,111,0.32840236686390534,111,0,0.32840236686390534,1.0
Layered_Fan_Out,True,529,5.5655785066406084e-05,163,0.30812854442344045,163,0,0.30812854442344045,1.0
Over-Invoicing,True,54,5.681308872563192e-06,15,0.2777777777777778,15,0,0.2777777777777778,1.0
Structuring,True,1870,0.00019674162206839203,507,0.2711229946524064,507,0,0.2711229946524064,1.0
Deposit-Send,True,945,9.942290526985586e-05,248,0.2624338624338624,248,0,0.2624338624338624,1.0
Fan_In,True,364,3.829623017801855e-05,89,0.2445054945054945,89,0,0.2445054945054945,1.0
Stacked Bipartite,True,506,5.323596832438843e-05,123,0.24308300395256918,123,0,0.24308300395256918,1.0
Layered_Fan_In,True,656,6.901738185928618e-05,142,0.21646341463414634,142,0,0.21646341463414634,1.0
Cycle,True,382,4.018999980220629e-05,76,0.19895287958115182,76,0,0.19895287958115182,1.0
Gather-Scatter,True,354,3.72441359423587e-05,68,0.192090395480226,68,0,0.192090395480226,1.0
Single_large,True,250,2.630235589149626e-05,48,0.192,48,0,0.192,1.0
Fan_Out,True,237,2.4934633385138455e-05,32,0.1350210970464135,32,0,0.1350210970464135,1.0
Bipartite,True,383,4.0295209225772266e-05,39,0.10182767624020887,39,0,0.10182767624020887,1.0
Cash_Withdrawal,True,1334,0.00014034937103702403,61,0.04572713643178411,61,0,0.04572713643178411,1.0
Smurfing,True,932,9.805518276349806e-05,0,0.0,0,0,0.0,
Normal_Cash_Deposits,False,223801,0.023545974203491016,776,0.003467366097559886,0,776,,0.0
Normal_Cash_Withdrawal,False,305031,0.03209213567975598,6807,0.022315764627201827,0,6807,,0.0
Normal_Fan_In,False,2104285,0.22139061186854883,1704,0.0008097762422865724,0,1704,,0.0
Normal_Fan_Out,False,2302220,0.24221523912208207,11394,0.004949136051289625,0,11394,,0.0
Normal_Foward,False,42031,0.004422057281901917,21567,0.5131212676357926,0,21567,,0.0
Normal_Group,False,528351,0.05558750415051176,549,0.0010390819739150678,0,549,,0.0
Normal_Mutual,False,125335,0.013186423102642734,18128,0.14463637451629632,0,18128,,0.0
Normal_Periodical,False,210526,0.022149319105652567,3216,0.015276022914034371,0,3216,,0.0
Normal_Plus_Mutual,False,155041,0.016311774239093885,5878,0.03791255216362124,0,5878,,0.0
Normal_Small_Fan_Out,False,3477717,0.3658886008956268,19356,0.005565720269935708,0,19356,,0.0
Normal_single_large,False,20641,0.002171627711825497,3339,0.1617654183421346,0,3339,,0.0
